"Date","Price","Open","High","Low","Vol.","Change %"
"08/09/2017","419.02","420.96","420.96","416.70","4.78M","-0.85%"
"08/08/2017","422.62","421.53","423.70","420.84","3.32M","0.17%"
"08/07/2017","421.90","423.37","424.05","420.16","3.14M","-0.27%"
"08/04/2017","423.04","418.91","423.87","417.80","4.37M","0.97%"
"08/03/2017","418.96","417.93","420.58","415.81","4.19M","0.17%"
"08/02/2017","418.23","421.60","423.33","417.73","4.86M","-0.75%"
"08/01/2017","421.37","418.99","422.44","417.02","5.77M","0.73%"
"07/31/2017","418.31","419.90","421.16","417.95","5.94M","-0.30%"
"07/28/2017","419.58","423.75","423.75","416.97","6.31M","-1.26%"
"07/27/2017","424.94","423.18","426.68","422.05","7.57M","0.48%"
"07/26/2017","422.89","419.03","423.01","418.18","7.27M","1.02%"
"07/25/2017","418.62","417.91","420.57","417.55","6.78M","0.11%"
"07/24/2017","418.15","420.54","421.42","416.43","6.20M","-0.36%"
"07/21/2017","419.67","425.54","425.73","417.71","6.87M","-1.43%"
"07/20/2017","425.76","424.16","427.69","423.45","6.64M","0.33%"
"07/19/2017","424.38","416.50","424.71","416.50","7.18M","2.12%"
"07/18/2017","415.58","422.32","422.32","414.91","12.43M","-1.83%"
"07/17/2017","423.32","425.35","427.07","422.89","4.39M","-0.23%"
"07/14/2017","424.31","423.38","424.31","421.41","3.97M","0.31%"
"07/13/2017","423.01","423.84","424.54","422.24","4.78M","-0.08%"
"07/12/2017","423.34","416.89","424.31","416.89","5.04M","1.70%"
"07/11/2017","416.25","418.61","420.80","416.18","4.54M","-0.57%"
"07/10/2017","418.62","416.53","419.29","416.41","3.23M","0.83%"
"07/07/2017","415.19","412.76","415.19","410.23","3.77M","0.57%"
"07/06/2017","412.84","417.06","417.71","409.53","5.64M","-0.80%"
"07/05/2017","416.17","412.83","416.63","410.98","4.86M","0.85%"
"07/04/2017","412.66","413.98","414.04","411.54","3.02M","-0.45%"
"07/03/2017","414.51","414.97","416.53","413.24","4.37M","0.26%"
"06/30/2017","413.43","411.89","417.92","411.37","6.18M","0.42%"
"06/29/2017","411.69","424.88","426.87","411.16","6.09M","-2.80%"
"06/28/2017","423.53","423.22","424.17","418.86","5.66M","-0.64%"
"06/27/2017","426.27","431.82","431.89","426.25","5.47M","-1.40%"
"06/26/2017","432.33","434.77","436.44","432.11","4.59M","-0.48%"
"06/23/2017","434.41","432.15","435.00","431.56","4.47M","0.31%"
"06/22/2017","433.08","431.58","433.16","430.68","5.13M","0.47%"
"06/21/2017","431.07","429.56","431.08","426.02","4.54M","0.14%"
"06/20/2017","430.47","433.64","435.75","430.47","4.75M","-0.59%"
"06/19/2017","433.04","430.42","433.84","430.09","4.45M","1.11%"
"06/16/2017","428.29","423.69","428.40","423.69","10.24M","1.13%"
"06/15/2017","423.49","427.36","427.65","420.83","7.01M","-1.14%"
"06/14/2017","428.37","428.24","432.82","428.24","6.52M","0.39%"
"06/13/2017","426.70","422.45","428.85","422.45","5.15M","1.14%"
"06/12/2017","421.88","435.09","435.09","417.83","8.34M","-3.61%"
"06/09/2017","437.68","436.96","439.37","436.12","4.43M","0.25%"
"06/08/2017","436.61","435.87","438.42","435.73","4.29M","0.28%"
"06/07/2017","435.41","433.76","437.69","432.16","5.07M","0.26%"
"06/06/2017","434.30","435.63","435.80","432.60","4.05M","-0.45%"
"06/05/2017","436.25","437.56","437.76","435.43","2.67M","-0.29%"
"06/02/2017","437.53","436.86","439.84","436.86","4.62M","0.51%"
"06/01/2017","435.29","432.16","436.03","431.82","5.66M","0.79%"
"05/31/2017","431.89","433.07","435.01","431.35","7.94M","-0.02%"
"05/30/2017","431.97","430.05","432.35","429.11","3.89M","0.13%"
"05/29/2017","431.42","432.21","432.38","430.73","2.26M","-0.14%"
"05/26/2017","432.01","432.51","433.08","429.56","5.32M","-0.18%"
"05/25/2017","432.79","432.36","433.61","429.68","4.74M","0.25%"
"05/24/2017","431.71","430.42","432.84","429.20","4.93M","0.23%"
